trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.5, 'e': 0.33589851774974244}",20,5,-39.852358338267216,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.3291805473947476}",30,15,-51.20094680521176,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.32259693644685267}",25,0,-96.32005184038611,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.3161449977179156}",25,6,-56.13617883697597,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.3098220977635573}",20,10,-37.1590185680511,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.30362565580828615}",25,13,25.19841746884702,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.2975531426921204}",20,0,15.171481132272365,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.291602079838278}",30,21,16.582642043981856,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.2857700382415124}",25,13,-20.915094957817544,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.2800546374766822}",20,9,-73.97120765003366,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
64,False,"{'a': 0.5, 'e': 0.27445354472714856}",20,2,22.985721199481432,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",20,2,-59.76548713515863,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",20,2,23.063501431205314,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.25831348066883436}",25,15,16.721285490404163,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.2531472110554577}",20,11,16.849323631227403,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.24808426683434853}",20,14,-0.9613130849119251,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.24312258149766156}",20,0,1.000517201351325,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.2382601298677083}",20,0,-7.41408270892797,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.23349492727035415}",35,25,-10.185008849807916,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.22882502872494706}",20,14,12.34452693560298,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.22424852815044813}",25,3,-22.212769980449387,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.21976355758743915}",25,11,14.32939156125568,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21536828643569036}",25,12,22.351328996438575,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21106092070697655}",25,2,-8.970457402835889,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.20683970229283702}",30,15,-51.333457884476424,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.20270290824698028}",20,3,18.175810620131692,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.19864885008204067}",20,6,2.7804055741003375,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.19467587308039985}",20,11,4.451171773649898,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19078235561879187}",30,10,13.359266377999205,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.18696670850641603}",25,16,7.0414424954455415,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18322737433628772}",20,0,7.596530352589307,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.17956282684956196}",20,13,-29.355230035641068,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.1759715703125707}",25,12,-19.180974695056296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.1724521389063193}",20,13,6.109220691580459,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.16900309612819292}",20,10,-0.2031002740047665,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.16562303420562907}",20,14,9.989229996923656,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
